date,price
2021-01-07,37207.558604224985
2021-01-08,39124.41401531255
2021-01-09,41064.20752516066
2021-01-10,42044.27117009046
2021-01-11,39313.730280025906
2021-01-12,38059.96730511325
2021-01-13,36953.189521661196
2021-01-14,38465.381882420945
2021-01-15,39252.83037004124
2021-01-16,38572.01259779422
2021-01-17,38769.20224557855
2021-01-18,37782.3227255981
2021-01-19,38681.22031383634
2021-01-20,37990.79222978451
2021-01-21,37288.34208415222
2021-01-22,35270.87635120272
2021-01-23,35446.19263346898
2021-01-24,34949.881008701974
2021-01-25,34602.22386257326
2021-01-26,34735.36119501055
2021-01-27,34400.34614477027
2021-01-28,33374.13705937432
2021-01-29,33734.48320739455
2021-01-30,34673.87993785595
2021-01-31,35524.97223045348
2021-02-01,35813.62813877407
2021-02-02,35709.951233668566
2021-02-03,36462.146655060955
2021-02-04,39431.04663080895
2021-02-05,39341.72270738706
2021-02-06,39260.30125820132
2021-02-07,40027.29028061105
2021-02-08,39883.45219625806
2021-02-09,44034.27679711756
2021-02-10,44667.8816901322
2021-02-11,45749.94985936715
2021-02-12,47625.10116419307
2021-02-13,48596.58329395742
2021-02-14,48422.40605365435
2021-02-15,48800.60957882431
2021-02-16,49297.12083768792
2021-02-17,50042.01090760673
2021-02-18,50524.56587612387
2021-02-19,50350.786785661854
2021-02-20,54297.90113145165
2021-02-21,55157.121441405725
2021-02-22,54660.74390754968
2021-02-23,53375.792402283405
2021-02-24,51606.743651893354
2021-02-25,50325.77135814527
2021-02-26,50545.65612223437
2021-02-27,51452.13914264357
2021-02-28,51505.39038135016
2021-03-01,49943.44452183823
2021-03-02,48619.46734044382
2021-03-03,45835.8131022663
2021-03-04,44425.72706278294
2021-03-05,44403.52799839256
2021-03-06,45827.40080555099
2021-03-07,46622.8442971247
2021-03-08,48279.506225376266
2021-03-09,48864.182973766
2021-03-10,47798.25965037543
2021-03-11,47077.995765724794
2021-03-12,48768.9559599598
2021-03-13,50316.20340299129
2021-03-14,51280.03739792197
2021-03-15,51671.17625496842
2021-03-16,53046.798192328366
2021-03-17,53376.40406034315
2021-03-18,50188.96356167605
2021-03-19,48770.73414453355
2021-03-20,48034.48335864024
2021-03-21,48469.67608679254
2021-03-22,48024.37725325729
2021-03-23,49041.027709868285
2021-03-24,50429.652279369795
2021-03-25,49730.869891706716
2021-03-26,49408.94288468656
2021-03-27,49817.2710587358
